OTU,Sample,Abundance,Label,Sample_type,Type,Sequencing_Run,Mouse,Genotype,Sex,Diet,Intranasal_Treatment,Surgery,Week
Rikenellaceae,SRR29055070,0.00860615739508473,258,Fecal,True Sample,2,JI-744,WT,Male,Normal_Chow,PBS,None,0
Erysipelotrichaceae,SRR29055108,0.00858296869740828,206,Fecal,True Sample,2,JI-727,WT,Female,Normal_Chow,HDM,None,0
Eggerthellaceae,SRR29054978,0.00857843137254902,316,Fecal,True Sample,2,JI-752,KO,Male,High_Fat_Diet,HDM,VSG,0
Sutterellaceae,SRR29055092,0.008575278696557638,234,Fecal,True Sample,2,JI-740,WT,Male,Normal_Chow,HDM,None,0
Akkermansiaceae,SRR29054905,0.00856200435118254,223,Fecal,True Sample,2,JI-741,WT,Male,Normal_Chow,HDM,None,10
Rikenellaceae,SRR29055006,0.008534574726020755,56,Fecal,True Sample,2,JI-660,KO,Male,Normal_Chow,PBS,None,10
Enterococcaceae,SRR29055183,0.008534383719021828,270,Fecal,True Sample,2,JI-754,WT,Female,High_Fat_Diet,PBS,VSG,10
Deferribacteraceae,SRR29055107,0.008517887563884156,207,Fecal,True Sample,2,JI-726,WT,Female,Normal_Chow,PBS,None,10
Atopobiaceae,SRR29055081,0.00851063829787234,245,Fecal,True Sample,2,JI-733,KO,Male,High_Fat_Diet,HDM,Sham,0
Marinifilaceae,SRR29054999,0.00850888629657586,297,Fecal,True Sample,2,JI-738,KO,Female,High_Fat_Diet,HDM,VSG,13
Lactobacillaceae,SRR29055162,0.008505276421483698,291,Fecal,True Sample,2,JI-734,WT,Male,High_Fat_Diet,HDM,Sham,10
Erysipelotrichaceae,SRR29055094,0.008503401360544218,232,Fecal,True Sample,2,JI-724,WT,Female,Normal_Chow,PBS,None,10
Eggerthellaceae,SRR29054982,0.008488063660477453,313,Fecal,True Sample,2,JI-747,KO,Male,Normal_Chow,HDM,None,10
Ruminococcaceae,SRR29055103,0.008484381025838797,210,Fecal,True Sample,2,JI-727,WT,Female,Normal_Chow,HDM,None,13
Ruminococcaceae,SRR29055000,0.00847284605961617,296,Fecal,True Sample,2,JI-752,KO,Male,High_Fat_Diet,HDM,VSG,10
