OTU,Sample,Abundance,Label,Sample_type,Type,Sequencing_Run,Mouse,Genotype,Sex,Diet,Intranasal_Treatment,Surgery,Week
Bacteroides,SRR29054979,0.47553944984351837,19,Fecal,True Sample,2,JI-656,KO,Male,High_Fat_Diet,PBS,None,10
Faecalibaculum,SRR29055011,0.43951349747849305,6,Fecal,True Sample,2,JI-652,KO,Male,High_Fat_Diet,HDM,None,10
Lactobacillus,SRR29055029,0.4290550938750385,35,Fecal,True Sample,2,JI-681,WT,Female,High_Fat_Diet,HDM,VSG,13
Lactobacillus,SRR29055129,0.4227617602427921,61,Fecal,True Sample,2,JI-687,KO,Female,High_Fat_Diet,HDM,Sham,0
Lactobacillus,SRR29055005,0.42274354625965704,292,Fecal,True Sample,2,JI-751,KO,Male,Normal_Chow,PBS,None,13
Faecalibaculum,SRR29055077,0.421364282330649,13,Fecal,True Sample,2,JI-689,KO,Female,High_Fat_Diet,PBS,Sham,13
Lactobacillus,SRR29055179,0.41768579492003766,15,Fecal,True Sample,2,JI-675,KO,Female,High_Fat_Diet,PBS,VSG,13
Faecalibaculum,SRR29055133,0.4110985985985986,57,Fecal,True Sample,2,JI-652,KO,Male,High_Fat_Diet,HDM,None,10
Lactobacillus,SRR29055104,0.39703534777651084,209,Fecal,True Sample,2,JI-760,WT,Female,High_Fat_Diet,HDM,None,13
Lactobacillus,SRR29055021,0.39564415437003403,42,Fecal,True Sample,2,JI-690,WT,Male,High_Fat_Diet,PBS,Sham,13
Lactobacillus,SRR29055170,0.38318021201413427,282,Fecal,True Sample,2,JI-752,KO,Male,High_Fat_Diet,HDM,VSG,13
Lactobacillus,SRR29054999,0.37641809106035395,297,Fecal,True Sample,2,JI-738,KO,Female,High_Fat_Diet,HDM,VSG,13
Lactobacillus,SRR29055002,0.36879265709578724,295,Fecal,True Sample,2,JI-757,KO,Female,Normal_Chow,PBS,None,13
Lactobacillus,SRR29055184,0.36844143272023233,269,Fecal,True Sample,2,JI-731,KO,Male,High_Fat_Diet,PBS,None,13
Lactobacillus,SRR29054956,0.3681991154993315,29,Fecal,True Sample,2,JI-693,KO,Female,High_Fat_Diet,PBS,Sham,13
Bacteroides,SRR29055031,0.36489308085535316,33,Fecal,True Sample,2,JI-650,WT,Female,High_Fat_Diet,HDM,None,10
Lactobacillus,SRR29055017,0.361546299834416,46,Fecal,True Sample,2,JI-661,WT,Female,High_Fat_Diet,PBS,VSG,13
Bacteroides,SRR29054967,0.35793831049893765,28,Fecal,True Sample,2,JI-665,WT,Female,High_Fat_Diet,HDM,Sham,13
Bacteroides,SRR29055078,0.352355241109663,248,Fecal,True Sample,2,JI-729,WT,Male,High_Fat_Diet,PBS,Sham,13
Lactobacillus,SRR29054917,0.34558947545960533,212,Fecal,True Sample,2,JI-728,WT,Female,Normal_Chow,HDM,None,0
Lactobacillus,SRR29055060,0.3435371546644218,331,Fecal,True Sample,2,JI-755,KO,Female,Normal_Chow,HDM,None,13
Lactobacillus,SRR29054916,0.33991972831120715,213,Fecal,True Sample,2,JI-728,WT,Female,Normal_Chow,HDM,None,13
Lactobacillus,SRR29054944,0.33938991062855456,25,Fecal,True Sample,2,JI-686,KO,Female,High_Fat_Diet,PBS,VSG,13
Lactobacillus,SRR29054981,0.33708646093967193,314,Fecal,True Sample,2,JI-747,KO,Male,Normal_Chow,HDM,None,13
Bacteroides,SRR29055168,0.3345392636731219,16,Fecal,True Sample,2,JI-672,WT,Female,High_Fat_Diet,HDM,None,13
Lactobacillus,SRR29055108,0.33041174072564206,206,Fecal,True Sample,2,JI-727,WT,Female,Normal_Chow,HDM,None,0
Faecalibaculum,SRR29054956,0.32860228324591173,29,Fecal,True Sample,2,JI-693,KO,Female,High_Fat_Diet,PBS,Sham,13
Lactobacillus,SRR29055193,0.32745036243302866,259,Fecal,True Sample,2,JI-739,WT,Male,High_Fat_Diet,PBS,VSG,13
Lactobacillus,SRR29055102,0.32676269901440486,211,Fecal,True Sample,2,JI-744,WT,Male,Normal_Chow,PBS,None,13
Lactobacillus,SRR29055126,0.3244511733535201,63,Fecal,True Sample,2,JI-685,KO,Female,Normal_Chow,HDM,None,0
Bacteroides,SRR29055162,0.32287179487179485,291,Fecal,True Sample,2,JI-734,WT,Male,High_Fat_Diet,HDM,Sham,10
Faecalibaculum,SRR29055000,0.3222907488986784,296,Fecal,True Sample,2,JI-752,KO,Male,High_Fat_Diet,HDM,VSG,10
Helicobacter,SRR29055163,0.32054569699456353,290,Fecal,True Sample,2,JI-734,WT,Male,High_Fat_Diet,HDM,Sham,13
Lactobacillus,SRR29054987,0.32031708749266,308,Fecal,True Sample,2,JI-750,KO,Male,Normal_Chow,PBS,None,13
Bacteroides,SRR29055015,0.31646540157178454,48,Fecal,True Sample,2,JI-680,WT,Female,High_Fat_Diet,HDM,None,13
Bifidobacterium,SRR29055072,0.3147463002114165,255,Fecal,True Sample,2,JI-742,WT,Male,Normal_Chow,HDM,None,0
Lactobacillus,SRR29054998,0.3143823311846138,298,Fecal,True Sample,2,JI-756,KO,Female,Normal_Chow,HDM,None,13
Lactobacillus,SRR29054986,0.31411784741144416,309,Fecal,True Sample,2,JI-758,KO,Female,Normal_Chow,PBS,None,13
Lactobacillus,SRR29055012,0.3113824264564507,51,Fecal,True Sample,2,JI-684,KO,Female,Normal_Chow,PBS,None,0
Lactobacillus,SRR29055111,0.3106927284216949,203,Fecal,True Sample,2,JI-742,WT,Male,Normal_Chow,HDM,None,13
Faecalibaculum,SRR29055033,0.30989838551606746,4,Fecal,True Sample,2,JI-651,KO,Male,High_Fat_Diet,PBS,None,10
Lactobacillus,SRR29055119,0.3087803285823088,70,Fecal,True Sample,2,JI-687,KO,Female,High_Fat_Diet,HDM,Sham,10
Faecalibaculum,SRR29055009,0.30635406698564593,53,Fecal,True Sample,2,JI-675,KO,Female,High_Fat_Diet,PBS,VSG,10
Bacteroides,SRR29055011,0.30145357460694155,6,Fecal,True Sample,2,JI-652,KO,Male,High_Fat_Diet,HDM,None,10
Faecalibaculum,SRR29055143,0.2996784565916399,24,Fecal,True Sample,2,JI-657,KO,Male,Normal_Chow,HDM,None,10
Lactobacillus,SRR29054991,0.29697854655734024,305,Fecal,True Sample,2,JI-748,KO,Male,Normal_Chow,HDM,None,13
Lactobacillus,SRR29054913,0.2959866220735786,216,Fecal,True Sample,2,JI-760,WT,Female,High_Fat_Diet,HDM,None,0
Bacteroides,SRR29055016,0.29561215483545583,47,Fecal,True Sample,2,JI-679,KO,Female,High_Fat_Diet,HDM,None,13
Lactobacillus,SRR29055109,0.29489748728225684,205,Fecal,True Sample,2,JI-725,WT,Female,Normal_Chow,PBS,None,0
Helicobacter,SRR29055079,0.2916769369813491,247,Fecal,True Sample,2,JI-739,WT,Male,High_Fat_Diet,PBS,VSG,10
Faecalibaculum,SRR29054979,0.2898204579146763,19,Fecal,True Sample,2,JI-656,KO,Male,High_Fat_Diet,PBS,None,10
Faecalibaculum,SRR29055069,0.28843299869052813,321,Fecal,True Sample,2,JI-746,KO,Male,High_Fat_Diet,PBS,Sham,13
Bacteroides,SRR29055018,0.2868756408378497,45,Fecal,True Sample,2,JI-692,KO,Male,High_Fat_Diet,HDM,Sham,13
Lactobacillus,SRR29055008,0.2862669245647969,54,Fecal,True Sample,2,JI-690,WT,Male,High_Fat_Diet,PBS,Sham,10
Faecalibaculum,SRR29055001,0.2845956054230949,17,Fecal,True Sample,2,JI-691,WT,Male,High_Fat_Diet,HDM,None,13
Faecalibaculum,SRR29055041,0.2833333333333333,22,Fecal,True Sample,2,JI-683,KO,Female,Normal_Chow,HDM,None,13
Bifidobacterium,SRR29055023,0.2808270676691729,41,Fecal,True Sample,2,JI-664,WT,Female,Normal_Chow,PBS,None,13
Lactobacillus,SRR29055061,0.28075628075628073,330,Fecal,True Sample,2,JI-758,KO,Female,Normal_Chow,PBS,None,0
Lactobacillus,SRR29055027,0.28045662429327667,37,Fecal,True Sample,2,JI-688,KO,Female,High_Fat_Diet,HDM,VSG,13
Bifidobacterium,SRR29055025,0.27992957746478875,39,Fecal,True Sample,2,JI-660,KO,Male,Normal_Chow,PBS,None,10
Lactobacillus,SRR29055132,0.27963800904977376,58,Fecal,True Sample,2,JI-665,WT,Female,High_Fat_Diet,HDM,Sham,10
Bifidobacterium,SRR29055070,0.2691726074746165,258,Fecal,True Sample,2,JI-744,WT,Male,Normal_Chow,PBS,None,0
Lactobacillus,SRR29054984,0.26797179244290076,311,Fecal,True Sample,2,JI-749,KO,Male,Normal_Chow,HDM,None,13
Faecalibaculum,SRR29055122,0.2679650772330423,67,Fecal,True Sample,2,JI-685,KO,Female,Normal_Chow,HDM,None,10
Faecalibaculum,SRR29055106,0.26726286468259786,9,Fecal,True Sample,2,JI-685,KO,Female,Normal_Chow,HDM,None,13
Bacteroides,SRR29055107,0.2671232876712329,207,Fecal,True Sample,2,JI-726,WT,Female,Normal_Chow,PBS,None,10
Faecalibaculum,SRR29055154,0.265279489596172,23,Fecal,True Sample,2,JI-658,KO,Male,Normal_Chow,PBS,None,10
Bifidobacterium,SRR29055091,0.26461658995201254,235,Fecal,True Sample,2,JI-741,WT,Male,Normal_Chow,HDM,None,0
Lactobacillus,SRR29054907,0.26447233606557374,221,Fecal,True Sample,2,JI-761,WT,Female,High_Fat_Diet,PBS,None,0
Helicobacter,SRR29054909,0.2643127131925878,219,Fecal,True Sample,2,JI-759,WT,Female,High_Fat_Diet,PBS,Sham,10
Lactobacillus,SRR29055001,0.26379149135109864,17,Fecal,True Sample,2,JI-691,WT,Male,High_Fat_Diet,HDM,None,13
Bacteroides,SRR29055123,0.263097689315946,66,Fecal,True Sample,2,JI-672,WT,Female,High_Fat_Diet,HDM,None,10
Lactobacillus,SRR29055130,0.2582752613240418,60,Fecal,True Sample,2,JI-682,WT,Female,High_Fat_Diet,PBS,Sham,0
Bacteroides,SRR29055128,0.25815895044996207,7,Fecal,True Sample,2,JI-655,WT,Male,High_Fat_Diet,PBS,None,10
Lactobacillus,SRR29055174,0.25765465528014997,278,Fecal,True Sample,2,JI-730,KO,Male,High_Fat_Diet,HDM,None,0
Lactobacillus,SRR29055164,0.25718824463860207,289,Fecal,True Sample,2,JI-729,WT,Male,High_Fat_Diet,PBS,Sham,0
Lactobacillus,SRR29055098,0.25715824432277173,228,Fecal,True Sample,2,JI-740,WT,Male,Normal_Chow,HDM,None,13
Bacteroides,SRR29054911,0.25637910085054677,10,Fecal,True Sample,2,JI-654,WT,Female,High_Fat_Diet,HDM,None,10
Bacteroides,SRR29055117,0.25579452912925454,8,Fecal,True Sample,2,JI-653,KO,Female,High_Fat_Diet,HDM,None,10
Lactobacillus,SRR29055186,0.2503694321300401,267,Fecal,True Sample,2,JI-731,KO,Male,High_Fat_Diet,PBS,None,10
Bacteroides,SRR29055004,0.24793599455272788,293,Fecal,True Sample,2,JI-732,KO,Male,High_Fat_Diet,PBS,VSG,10
Lactobacillus,SRR29055166,0.24685975293262744,287,Fecal,True Sample,2,JI-732,KO,Male,High_Fat_Diet,PBS,VSG,0
Bacteroides,SRR29055033,0.24624748542837985,4,Fecal,True Sample,2,JI-651,KO,Male,High_Fat_Diet,PBS,None,10
Lactobacillus,SRR29054906,0.2447473608691196,222,Fecal,True Sample,2,JI-726,WT,Female,Normal_Chow,PBS,None,13
Lactobacillus,SRR29055187,0.24297289186756027,266,Fecal,True Sample,2,JI-741,WT,Male,Normal_Chow,HDM,None,13
Lactobacillus,SRR29055081,0.24253777944298738,245,Fecal,True Sample,2,JI-733,KO,Male,High_Fat_Diet,HDM,Sham,0
Faecalibaculum,SRR29055007,0.24241638579206637,55,Fecal,True Sample,2,JI-683,KO,Female,Normal_Chow,HDM,None,10
Lactobacillus,SRR29054974,0.24229351321672288,320,Fecal,True Sample,2,JI-765,KO,Female,High_Fat_Diet,PBS,None,13
Bacteroides,SRR29055101,0.24202971123351694,1,Fecal,True Sample,2,JI-670,WT,Female,High_Fat_Diet,HDM,Sham,13
Faecalibaculum,SRR29055053,0.24070856947569277,3,Fecal,True Sample,2,JI-684,KO,Female,Normal_Chow,PBS,None,13
Lactobacillus,SRR29055088,0.24054826555800962,12,Fecal,True Sample,2,JI-671,KO,Female,High_Fat_Diet,HDM,VSG,13
Helicobacter,SRR29055162,0.2402051282051282,291,Fecal,True Sample,2,JI-734,WT,Male,High_Fat_Diet,HDM,Sham,10
Bifidobacterium,SRR29055006,0.23953488372093024,56,Fecal,True Sample,2,JI-660,KO,Male,Normal_Chow,PBS,None,10
Faecalibaculum,SRR29055006,0.23863049095607236,56,Fecal,True Sample,2,JI-660,KO,Male,Normal_Chow,PBS,None,10
Lactobacillus,SRR29055030,0.23827181786823043,34,Fecal,True Sample,2,JI-676,KO,Male,High_Fat_Diet,PBS,VSG,13
Bifidobacterium,SRR29054988,0.2377326565143824,307,Fecal,True Sample,2,JI-750,KO,Male,Normal_Chow,PBS,None,10
Romboutsia,SRR29055066,0.23686642496623303,325,Fecal,True Sample,2,JI-745,KO,Female,High_Fat_Diet,PBS,Sham,13
Lactobacillus,SRR29055103,0.23667164922770303,210,Fecal,True Sample,2,JI-727,WT,Female,Normal_Chow,HDM,None,13
Lactobacillus,SRR29054914,0.23515831134564644,215,Fecal,True Sample,2,JI-726,WT,Female,Normal_Chow,PBS,None,0
Bacteroides,SRR29055180,0.23458828709819463,273,Fecal,True Sample,2,JI-736,WT,Male,High_Fat_Diet,HDM,None,10
Lactococcus,SRR29055073,0.23262912683749698,253,Fecal,True Sample,2,JI-736,WT,Male,High_Fat_Diet,HDM,None,13
Lactobacillus,SRR29054988,0.2323745064861816,307,Fecal,True Sample,2,JI-750,KO,Male,Normal_Chow,PBS,None,10
Lactobacillus,SRR29055097,0.23162506485271228,229,Fecal,True Sample,2,JI-724,WT,Female,Normal_Chow,PBS,None,0
Faecalibaculum,SRR29055003,0.23133946830265847,294,Fecal,True Sample,2,JI-746,KO,Male,High_Fat_Diet,PBS,Sham,0
Lactobacillus,SRR29055182,0.2309114927344782,271,Fecal,True Sample,2,JI-759,WT,Female,High_Fat_Diet,PBS,Sham,0
Lactobacillus,SRR29055110,0.22879091516366065,204,Fecal,True Sample,2,JI-725,WT,Female,Normal_Chow,PBS,None,10
Faecalibaculum,SRR29055115,0.22760996290408056,73,Fecal,True Sample,2,JI-684,KO,Female,Normal_Chow,PBS,None,0
Faecalibaculum,SRR29055016,0.22506619593998234,47,Fecal,True Sample,2,JI-679,KO,Female,High_Fat_Diet,HDM,None,13
Bifidobacterium,SRR29055032,0.22480573819485952,32,Fecal,True Sample,2,JI-648,WT,Male,Normal_Chow,PBS,None,10
Lactobacillus,SRR29055059,0.2247431506849315,333,Fecal,True Sample,2,JI-757,KO,Female,Normal_Chow,PBS,None,0
Faecalibaculum,SRR29055191,0.2225859247135843,262,Fecal,True Sample,2,JI-723,KO,Female,High_Fat_Diet,HDM,None,0
Faecalibaculum,SRR29054994,0.22235067437379577,302,Fecal,True Sample,2,JI-749,KO,Male,Normal_Chow,HDM,None,0
Lactobacillus,SRR29055094,0.22228022551680934,232,Fecal,True Sample,2,JI-724,WT,Female,Normal_Chow,PBS,None,10
Faecalibaculum,SRR29055117,0.2205053247024431,8,Fecal,True Sample,2,JI-653,KO,Female,High_Fat_Diet,HDM,None,10
Bifidobacterium,SRR29055026,0.21919699563704645,38,Fecal,True Sample,2,JI-649,WT,Male,Normal_Chow,HDM,None,10
Bacteroides,SRR29055084,0.21889783915100372,241,Fecal,True Sample,2,JI-737,WT,Male,High_Fat_Diet,PBS,None,10
Bacteroides,SRR29055027,0.21801289207389535,37,Fecal,True Sample,2,JI-688,KO,Female,High_Fat_Diet,HDM,VSG,13
Lactobacillus,SRR29054912,0.21568627450980393,217,Fecal,True Sample,2,JI-725,WT,Female,Normal_Chow,PBS,None,13
Lactobacillus,SRR29054903,0.2156710628394104,225,Fecal,True Sample,2,JI-743,WT,Male,Normal_Chow,PBS,None,10
Faecalibaculum,SRR29054933,0.21562011357089952,26,Fecal,True Sample,2,JI-666,KO,Female,High_Fat_Diet,HDM,None,13
Helicobacter,SRR29055192,0.21541950113378686,260,Fecal,True Sample,2,JI-729,WT,Male,High_Fat_Diet,PBS,Sham,10
Bifidobacterium,SRR29054980,0.21535232867866655,315,Fecal,True Sample,2,JI-758,KO,Female,Normal_Chow,PBS,None,10
Faecalibaculum,SRR29054995,0.21517386722866175,301,Fecal,True Sample,2,JI-748,KO,Male,Normal_Chow,HDM,None,0
Lactobacillus,SRR29055191,0.21505728314238953,262,Fecal,True Sample,2,JI-723,KO,Female,High_Fat_Diet,HDM,None,0
Bifidobacterium,SRR29054989,0.21463228998192369,306,Fecal,True Sample,2,JI-753,KO,Male,High_Fat_Diet,HDM,Sham,0
Helicobacter,SRR29055183,0.21428571428571427,270,Fecal,True Sample,2,JI-754,WT,Female,High_Fat_Diet,PBS,VSG,10
Lactococcus,SRR29055084,0.21391126454417594,241,Fecal,True Sample,2,JI-737,WT,Male,High_Fat_Diet,PBS,None,10
Lactobacillus,SRR29055069,0.2138804015713662,321,Fecal,True Sample,2,JI-746,KO,Male,High_Fat_Diet,PBS,Sham,13
Bifidobacterium,SRR29054987,0.2132511254648659,308,Fecal,True Sample,2,JI-750,KO,Male,Normal_Chow,PBS,None,13
Bifidobacterium,SRR29055165,0.21211817726589885,288,Fecal,True Sample,2,JI-734,WT,Male,High_Fat_Diet,HDM,Sham,0
Bacteroides,SRR29054922,0.21153100023279273,27,Fecal,True Sample,2,JI-667,KO,Female,High_Fat_Diet,PBS,None,13
Helicobacter,SRR29054904,0.21118661787767903,224,Fecal,True Sample,2,JI-761,WT,Female,High_Fat_Diet,PBS,None,10
Bifidobacterium,SRR29055113,0.21116614137775777,201,Fecal,True Sample,2,JI-744,WT,Male,Normal_Chow,PBS,None,10
Lactococcus,SRR29055180,0.2098194627917217,273,Fecal,True Sample,2,JI-736,WT,Male,High_Fat_Diet,HDM,None,10
Lactobacillus,SRR29055057,0.20917700849118223,335,Fecal,True Sample,2,JI-756,KO,Female,Normal_Chow,HDM,None,0
Bifidobacterium,SRR29055092,0.20815707558464364,234,Fecal,True Sample,2,JI-740,WT,Male,Normal_Chow,HDM,None,0
Helicobacter,SRR29054985,0.2080773265397872,310,Fecal,True Sample,2,JI-749,KO,Male,Normal_Chow,HDM,None,10
Bifidobacterium,SRR29055111,0.2077095726830969,203,Fecal,True Sample,2,JI-742,WT,Male,Normal_Chow,HDM,None,13
Bifidobacterium,SRR29055109,0.2068752890396177,205,Fecal,True Sample,2,JI-725,WT,Female,Normal_Chow,PBS,None,0
Faecalibaculum,SRR29055080,0.20568218645349465,246,Fecal,True Sample,2,JI-735,KO,Female,High_Fat_Diet,HDM,Sham,0
Lactobacillus,SRR29055173,0.2052683519319821,279,Fecal,True Sample,2,JI-753,KO,Male,High_Fat_Diet,HDM,Sham,13
Lactobacillus,SRR29055112,0.20482944951030058,202,Fecal,True Sample,2,JI-743,WT,Male,Normal_Chow,PBS,None,13
Bifidobacterium,SRR29054903,0.20377553659167313,225,Fecal,True Sample,2,JI-743,WT,Male,Normal_Chow,PBS,None,10
Helicobacter,SRR29055185,0.2032198042229593,268,Fecal,True Sample,2,JI-762,WT,Female,High_Fat_Diet,HDM,Sham,10
Lactobacillus,SRR29055181,0.20302146832759077,272,Fecal,True Sample,2,JI-754,WT,Female,High_Fat_Diet,PBS,VSG,13
Lactobacillus,SRR29055101,0.20196962109831415,1,Fecal,True Sample,2,JI-670,WT,Female,High_Fat_Diet,HDM,Sham,13
Faecalibaculum,SRR29055099,0.20190768836822226,11,Fecal,True Sample,2,JI-659,KO,Male,Normal_Chow,HDM,None,10
Ligilactobacillus,SRR29055088,0.20118227880992595,12,Fecal,True Sample,2,JI-671,KO,Female,High_Fat_Diet,HDM,VSG,13
Lactobacillus,SRR29055113,0.2010355695632598,201,Fecal,True Sample,2,JI-744,WT,Male,Normal_Chow,PBS,None,10
Bifidobacterium,SRR29054981,0.20100083402835697,314,Fecal,True Sample,2,JI-747,KO,Male,Normal_Chow,HDM,None,13
Romboutsia,SRR29055188,0.20098917640312522,265,Fecal,True Sample,2,JI-723,KO,Female,High_Fat_Diet,HDM,None,13
Helicobacter,SRR29054911,0.20003037667071688,10,Fecal,True Sample,2,JI-654,WT,Female,High_Fat_Diet,HDM,None,10
Bifidobacterium,SRR29054984,0.19945268919061152,311,Fecal,True Sample,2,JI-749,KO,Male,Normal_Chow,HDM,None,13
Lactobacillus,SRR29055003,0.19861963190184048,294,Fecal,True Sample,2,JI-746,KO,Male,High_Fat_Diet,PBS,Sham,0
Lactobacillus,SRR29055115,0.19554848966613672,73,Fecal,True Sample,2,JI-684,KO,Female,Normal_Chow,PBS,None,0
Lactobacillus,SRR29055004,0.19499531875053197,293,Fecal,True Sample,2,JI-732,KO,Male,High_Fat_Diet,PBS,VSG,10
Bifidobacterium,SRR29055102,0.19370735405610312,211,Fecal,True Sample,2,JI-744,WT,Male,Normal_Chow,PBS,None,13
Lactobacillus,SRR29055172,0.19251234053464966,280,Fecal,True Sample,2,JI-735,KO,Female,High_Fat_Diet,HDM,Sham,10
Bifidobacterium,SRR29055191,0.19181669394435352,262,Fecal,True Sample,2,JI-723,KO,Female,High_Fat_Diet,HDM,None,0
Bifidobacterium,SRR29054907,0.1917264344262295,221,Fecal,True Sample,2,JI-761,WT,Female,High_Fat_Diet,PBS,None,0
Lactobacillus,SRR29055068,0.19155509783728114,322,Fecal,True Sample,2,JI-763,KO,Female,High_Fat_Diet,HDM,None,13
Bacteroides,SRR29055100,0.18985327912321018,2,Fecal,True Sample,2,JI-669,WT,Female,High_Fat_Diet,PBS,Sham,13
Faecalibaculum,SRR29055128,0.18952618453865336,7,Fecal,True Sample,2,JI-655,WT,Male,High_Fat_Diet,PBS,None,10
Clostridium sensu stricto 1,SRR29055169,0.18948337938541404,284,Fecal,True Sample,2,JI-763,KO,Female,High_Fat_Diet,HDM,None,0
Mucispirillum,SRR29055010,0.18937754078454147,52,Fecal,True Sample,2,JI-669,WT,Female,High_Fat_Diet,PBS,Sham,10
Faecalibaculum,SRR29055131,0.18863939528679413,59,Fecal,True Sample,2,JI-667,KO,Female,High_Fat_Diet,PBS,None,10
Bifidobacterium,SRR29055052,0.188543539686617,21,Fecal,True Sample,2,JI-663,WT,Female,Normal_Chow,HDM,None,13
Faecalibaculum,SRR29055190,0.18775436375146964,14,Fecal,True Sample,2,JI-674,KO,Female,High_Fat_Diet,PBS,Sham,13
Lactobacillus,SRR29054994,0.18757225433526012,302,Fecal,True Sample,2,JI-749,KO,Male,Normal_Chow,HDM,None,0
Faecalibaculum,SRR29055174,0.18746094563632576,278,Fecal,True Sample,2,JI-730,KO,Male,High_Fat_Diet,HDM,None,0
Helicobacter,SRR29055075,0.18729993300081887,251,Fecal,True Sample,2,JI-732,KO,Male,High_Fat_Diet,PBS,VSG,13
Romboutsia,SRR29055124,0.18719066262835193,65,Fecal,True Sample,2,JI-671,KO,Female,High_Fat_Diet,HDM,VSG,10
Bifidobacterium,SRR29054977,0.18663335415365398,317,Fecal,True Sample,2,JI-757,KO,Female,Normal_Chow,PBS,None,10
Lactobacillus,SRR29055095,0.186511240632806,231,Fecal,True Sample,2,JI-740,WT,Male,Normal_Chow,HDM,None,10
Clostridium sensu stricto 1,SRR29055063,0.1864444944832245,327,Fecal,True Sample,2,JI-756,KO,Female,Normal_Chow,HDM,None,10
Bifidobacterium,SRR29055060,0.1861177010790541,331,Fecal,True Sample,2,JI-755,KO,Female,Normal_Chow,HDM,None,13
Bacteroides,SRR29055181,0.1859263185793798,272,Fecal,True Sample,2,JI-754,WT,Female,High_Fat_Diet,PBS,VSG,13
Bacteroides,SRR29055065,0.18588689091837313,326,Fecal,True Sample,2,JI-764,KO,Female,High_Fat_Diet,PBS,None,10
Lactobacillus,SRR29055093,0.1835380348652932,233,Fecal,True Sample,2,JI-724,WT,Female,Normal_Chow,PBS,None,13
Lactobacillus,SRR29054982,0.18276871601840233,313,Fecal,True Sample,2,JI-747,KO,Male,Normal_Chow,HDM,None,10
Bifidobacterium,SRR29054994,0.1825626204238921,302,Fecal,True Sample,2,JI-749,KO,Male,Normal_Chow,HDM,None,0
Bifidobacterium,SRR29055053,0.18246803178310028,3,Fecal,True Sample,2,JI-684,KO,Female,Normal_Chow,PBS,None,13
Faecalibaculum,SRR29055124,0.1817980350151437,65,Fecal,True Sample,2,JI-671,KO,Female,High_Fat_Diet,HDM,VSG,10
Bifidobacterium,SRR29055174,0.18142053738804415,278,Fecal,True Sample,2,JI-730,KO,Male,High_Fat_Diet,HDM,None,0
Lactobacillus,SRR29055071,0.18120915032679738,257,Fecal,True Sample,2,JI-730,KO,Male,High_Fat_Diet,HDM,None,13
Lactobacillus,SRR29054992,0.1807279436430728,304,Fecal,True Sample,2,JI-748,KO,Male,Normal_Chow,HDM,None,10
HT002,SRR29055013,0.18062171982236577,50,Fecal,True Sample,2,JI-660,KO,Male,Normal_Chow,PBS,None,0
Bifidobacterium,SRR29055056,0.1788316151202749,336,Fecal,True Sample,2,JI-755,KO,Female,Normal_Chow,HDM,None,0
Bifidobacterium,SRR29054914,0.1787598944591029,215,Fecal,True Sample,2,JI-726,WT,Female,Normal_Chow,PBS,None,0
Candidatus Saccharimonas,SRR29055120,0.1787484800299317,69,Fecal,True Sample,2,JI-682,WT,Female,High_Fat_Diet,PBS,Sham,10
Faecalibaculum,SRR29055121,0.17821675302245252,68,Fecal,True Sample,2,JI-666,KO,Female,High_Fat_Diet,HDM,None,10
Lactobacillus,SRR29055125,0.1766419242694729,64,Fecal,True Sample,2,JI-683,KO,Female,Normal_Chow,HDM,None,0
Lactobacillus,SRR29055169,0.17650506572887883,284,Fecal,True Sample,2,JI-763,KO,Female,High_Fat_Diet,HDM,None,0
Lactobacillus,SRR29055056,0.17621993127147767,336,Fecal,True Sample,2,JI-755,KO,Female,Normal_Chow,HDM,None,0
Lactobacillus,SRR29055075,0.17591007221022853,251,Fecal,True Sample,2,JI-732,KO,Male,High_Fat_Diet,PBS,VSG,13
Bifidobacterium,SRR29055058,0.1758757674250632,334,Fecal,True Sample,2,JI-755,KO,Female,Normal_Chow,HDM,None,10
Lactobacillus,SRR29055018,0.17577266735022704,45,Fecal,True Sample,2,JI-692,KO,Male,High_Fat_Diet,HDM,Sham,13
Faecalibaculum,SRR29054993,0.17479347169050977,303,Fecal,True Sample,2,JI-750,KO,Male,Normal_Chow,PBS,None,0
Lactobacillus,SRR29055165,0.17466199298948423,288,Fecal,True Sample,2,JI-734,WT,Male,High_Fat_Diet,HDM,Sham,0
HT002,SRR29055017,0.17354477136670488,46,Fecal,True Sample,2,JI-661,WT,Female,High_Fat_Diet,PBS,VSG,13
Bacteroides,SRR29054909,0.1731354291509173,219,Fecal,True Sample,2,JI-759,WT,Female,High_Fat_Diet,PBS,Sham,10
Faecalibaculum,SRR29055025,0.173095390524968,39,Fecal,True Sample,2,JI-660,KO,Male,Normal_Chow,PBS,None,10
Lactobacillus,SRR29055007,0.17267306196525797,55,Fecal,True Sample,2,JI-683,KO,Female,Normal_Chow,HDM,None,10
Bifidobacterium,SRR29054983,0.1712320916905444,312,Fecal,True Sample,2,JI-747,KO,Male,Normal_Chow,HDM,None,0
Dubosiella,SRR29055026,0.17081791572320096,38,Fecal,True Sample,2,JI-649,WT,Male,Normal_Chow,HDM,None,10
Bacteroides,SRR29054990,0.1705487564153178,18,Fecal,True Sample,2,JI-673,WT,Female,High_Fat_Diet,PBS,None,13
Bifidobacterium,SRR29054995,0.17007376185458378,301,Fecal,True Sample,2,JI-748,KO,Male,Normal_Chow,HDM,None,0
Dubosiella,SRR29055024,0.1698169816981698,40,Fecal,True Sample,2,JI-647,WT,Male,Normal_Chow,PBS,None,10
